Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Season,Rk_against,Comp_against,# Pl_against,Age_against,Poss_against,MP_against,Starts_against,Min_against,90s_against,Gls_against,Ast_against,G+A_against,G-PK_against,PK_against,PKatt_against,CrdY_against,CrdR_against,xG_against,npxG_against,xAG_against,npxG+xAG_against,PrgC_against,PrgP_against,Gls.1_against,Ast.1_against,G+A.1_against,G-PK.1_against,G+A-PK_against,xG.1_against,xAG.1_against,xG+xAG_against,npxG.1_against,npxG+xAG.1_against,Season_against,Squad_Season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Sh_against,SoT_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_against,G/SoT_against,Dist_against,FK_against,npxG/Sh_against,G-xG_against,np:G-xG_against,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Cmp_against,Att_against,Cmp%_against,TotDist_against,PrgDist_against,Cmp.1_against,Att.1_against,Cmp%.1_against,Cmp.2_against,Att.2_against,Cmp%.2_against,Cmp.3_against,Att.3_against,Cmp%.3_against,xA_against,A-xAG_against,KP_against,1/3_against,PPA_against,CrsPA_against,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,Live_against,Dead_against,TB_against,Sw_against,Crs_against,TI_against,CK_against,In_against,Out_against,Str_against,Off_against,Blocks_against,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,SCA_against,SCA90_against,PassLive_against,PassDead_against,TO_against,Fld_against,Def_against,GCA_against,GCA90_against,PassLive.1_against,PassDead.1_against,TO.1_against,Sh.1_against,Fld.1_against,Def.1_against,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Tkl_against,TklW_against,Def 3rd_against,Mid 3rd_against,Att 3rd_against,Tkl.1_against,Tkl%_against,Lost_against,Pass_against,Int_against,Tkl+Int_against,Clr_against,Err_against,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Touches_against,Def Pen_against,Att Pen_against,Succ_against,Succ%_against,Tkld_against,Tkld%_against,Carries_against,CPA_against,Mis_against,Dis_against,Rec_against,PrgR_against,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Mn/MP_against,Min%_against,Mn/Start_against,Compl_against,Subs_against,Mn/Sub_against,unSub_against,PPM_against,onG_against,onGA_against,+/-_against,+/-90_against,onxG_against,onxGA_against,xG+/-_against,xG+/-90_against,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,2CrdY_against,Fls_against,PKwon_against,PKcon_against,OG_against,Recov_against,Won_against,Won%_against
11,Betis,es La Liga,17,28.6,45.0,2,22,180,2.0,2,2,4,2,0,0,5,0,1.8,1.8,1.7,3.5,34,62,1.0,1.0,2.0,1.0,2.0,0.91,0.85,1.75,0.91,1.75,2024,11,es La Liga,17,28.7,55.0,2,22,180,2.0,1,1,2,1,0,0,3,0,1.4,1.4,1.1,2.5,37,93,0.5,0.5,1.0,0.5,1.0,0.7,0.54,1.25,0.7,1.25,2024,Betis_2024,26,5,19.2,13.0,2.5,0.08,0.4,17.8,1,0.07,0.2,0.2,23,6,26.1,11.5,3.0,0.04,0.17,16.0,0,0.06,-0.4,-0.4,784,948,82.7,13016,4977,401,447,89.7,260,294,88.4,85,139,61.2,2.1,0.3,22,49,19,5,949,1130,84.0,15482,5772,513,565,90.8,352,391,90.0,71,124,57.3,2.3,-0.1,17,76,18,2,867,77,1,7,31,33,6,2,3,0,4,16,1030,96,1,5,36,32,16,3,12,0,4,21,47,23.5,38,2,1,1,2,4,2.0,3,0,1,0,0,0,43,21.5,29,6,3,1,0,2,1.0,0,1,0,0,1,0,37,25,12,18,7,20,62.5,12,20,25,62,37,0,44,26,18,22,4,20,54.1,17,13,20,64,22,0,1180,140,42,17,41.5,20,48.8,694,9,29,24,780,61,1349,113,57,12,36.4,20,60.6,823,10,29,17,931,90,90,100,82,13,9,19,9,2.0,2,1,1,0.5,1.8,1.4,0.4,0.2,90,100,82,13,9,19,12,0.5,1,2,-1,-0.5,1.4,1.8,-0.4,-0.2,0,27,0,0,0,114,13,27.7,0,21,0,0,0,103,34,72.3
12,Bochum,de Bundesliga,16,29.4,40.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.8,0.8,0.6,1.4,8,24,0.0,0.0,0.0,0.0,0.0,0.83,0.56,1.39,0.83,1.39,2024,12,de Bundesliga,16,25.2,60.0,1,11,90,1.0,5,5,10,5,0,0,1,0,3.0,3.0,2.8,5.8,39,51,5.0,5.0,10.0,5.0,10.0,3.05,2.76,5.81,3.05,5.81,2024,Bochum_2024,4,1,25.0,4.0,1.0,0.0,0.0,11.8,0,0.21,-0.8,-0.8,21,9,42.9,21.0,9.0,0.24,0.56,16.6,0,0.15,2.0,2.0,298,402,74.1,5384,1700,128,145,88.3,135,160,84.4,30,76,39.5,0.3,-0.6,2,15,3,0,506,601,84.2,8451,3196,251,277,90.6,188,212,88.7,47,74,63.5,1.9,2.2,17,43,9,2,359,41,2,0,8,20,0,0,0,0,2,6,553,46,3,6,24,19,7,3,4,0,2,9,6,6.0,4,0,0,1,0,0,0.0,0,0,0,0,0,0,37,37.0,27,5,1,1,0,10,10.0,7,1,1,1,0,0,24,16,16,8,0,13,56.5,10,7,9,33,24,0,7,5,2,3,2,3,60.0,2,6,8,15,15,0,495,76,5,2,33.3,3,50.0,290,1,5,4,294,24,702,49,31,10,34.5,13,44.8,524,8,11,11,504,50,90,100,79,6,5,25,4,0.0,0,5,-5,-5.0,0.8,3.0,-2.2,-2.21,90,100,79,6,5,25,4,3.0,5,0,5,5.0,3.0,0.8,2.2,2.21,0,12,0,0,0,38,15,41.7,0,5,0,0,0,48,21,58.3
13,Bologna,it Serie A,16,25.8,53.0,1,11,90,1.0,0,0,0,0,0,0,2,0,1.0,1.0,0.8,1.9,22,41,0.0,0.0,0.0,0.0,0.0,1.05,0.85,1.89,1.05,1.89,2024,13,it Serie A,16,26.7,47.0,1,11,90,1.0,2,2,4,2,0,0,2,0,0.9,0.9,0.9,1.8,14,35,2.0,2.0,4.0,2.0,4.0,0.9,0.9,1.79,0.9,1.79,2024,Bologna_2024,17,5,29.4,17.0,5.0,0.0,0.0,17.1,1,0.06,-1.0,-1.0,9,5,55.6,9.0,5.0,0.22,0.4,15.7,0,0.1,1.1,1.1,503,580,86.7,8855,2712,245,263,93.2,205,231,88.7,49,70,70.0,0.8,-0.8,14,43,10,5,430,515,83.5,6699,2401,219,240,91.3,165,181,91.2,28,56,50.0,1.2,1.1,9,26,8,3,550,28,1,3,16,13,3,2,0,0,2,7,470,43,1,0,11,13,6,3,2,0,2,11,32,32.0,27,1,2,1,0,0,0.0,0,0,0,0,0,0,18,18.0,16,1,1,0,0,4,4.0,4,0,0,0,0,0,21,8,10,9,2,11,47.8,12,10,4,25,11,0,13,8,8,3,2,7,70.0,3,7,9,22,10,1,682,58,25,3,23.1,7,53.8,330,5,9,6,500,41,607,73,20,12,48.0,11,44.0,425,3,11,10,426,35,90,100,83,6,5,15,6,0.0,0,2,-2,-2.0,1.0,0.9,0.2,0.15,90,100,83,6,5,15,8,3.0,2,0,2,2.0,0.9,1.0,-0.2,-0.15,0,10,0,0,0,60,11,68.8,0,4,0,0,0,54,5,31.3
14,Bournemouth,eng Premier League,18,25.8,49.0,2,22,180,2.0,2,1,3,2,0,0,4,0,2.6,2.6,1.1,3.7,30,77,1.0,0.5,1.5,1.0,1.5,1.3,0.54,1.84,1.3,1.84,2024,14,eng Premier League,18,28.0,51.0,2,22,180,2.0,4,1,5,4,0,1,5,1,4.1,3.2,1.8,5.0,38,70,2.0,0.5,2.5,2.0,2.5,2.06,0.92,2.98,1.58,2.51,2024,Bournemouth_2024,27,10,37.0,13.5,5.0,0.07,0.2,20.2,2,0.1,-0.6,-0.6,41,11,26.8,20.5,5.5,0.1,0.36,16.6,1,0.08,-0.1,0.8,709,929,76.3,12734,4297,307,352,87.2,311,364,85.4,74,159,46.5,1.0,-0.1,17,57,18,3,773,985,78.5,13641,5659,332,389,85.3,323,369,87.5,86,157,54.8,2.3,-0.8,28,51,17,2,824,102,3,2,33,42,12,7,0,1,3,23,881,102,6,12,30,40,14,6,6,0,2,26,46,23.0,28,3,5,3,4,3,1.5,1,0,1,1,0,0,66,33.0,39,9,6,2,2,6,3.0,2,0,1,2,0,1,35,17,14,15,6,20,42.6,27,23,21,56,40,1,45,30,22,20,3,21,47.7,23,19,17,62,47,2,1193,137,41,23,46.9,21,42.9,656,9,32,24,696,76,1255,127,66,27,50.9,20,37.7,624,10,41,15,764,70,90,100,80,12,10,21,8,0.5,2,4,-2,-1.0,2.6,4.1,-1.5,-0.76,90,100,80,12,10,21,10,2.0,4,2,2,1.0,4.1,2.6,1.5,0.76,0,22,0,1,0,122,27,36.0,0,25,1,0,0,110,48,64.0
15,Brentford,eng Premier League,18,25.9,38.0,2,22,180,2.0,5,2,7,3,2,2,3,0,5.9,4.5,3.6,8.1,20,59,2.5,1.0,3.5,1.5,2.5,2.93,1.79,4.72,2.25,4.04,2024,15,eng Premier League,18,27.1,62.0,2,22,180,2.0,2,2,4,2,0,0,8,1,1.7,1.7,1.4,3.1,43,82,1.0,1.0,2.0,1.0,2.0,0.86,0.68,1.54,0.86,1.54,2024,Brentford_2024,26,12,46.2,13.0,6.0,0.12,0.25,15.4,1,0.18,-0.9,-1.5,28,8,28.6,14.0,4.0,0.07,0.25,20.6,1,0.06,0.3,0.3,600,771,77.8,11266,4367,260,297,87.5,255,303,84.2,76,136,55.9,3.3,-1.6,16,41,18,2,1077,1267,85.0,16774,4803,579,618,93.7,415,463,89.6,52,117,44.4,2.3,0.6,17,106,17,2,686,80,5,9,28,33,8,1,2,2,5,12,1175,91,3,3,39,34,11,6,5,0,1,20,44,22.0,28,5,1,5,1,8,4.0,5,0,1,0,2,0,43,21.5,31,2,2,3,1,4,2.0,2,1,0,0,1,0,30,18,18,9,3,15,38.5,24,19,17,47,59,0,26,19,6,11,9,9,40.9,13,10,13,39,41,1,991,175,61,13,48.1,9,33.3,552,8,23,17,592,59,1462,136,51,24,58.5,15,36.6,1039,11,21,15,1065,81,90,100,83,13,10,16,8,2.0,5,2,3,1.5,5.9,1.7,4.1,2.06,90,100,83,13,10,16,10,0.5,2,5,-3,-1.5,1.7,5.9,-4.1,-2.06,0,24,2,0,0,102,27,54.0,1,26,0,2,0,93,23,46.0
16,Brest,fr Ligue 1,16,27.1,46.0,2,22,180,2.0,5,2,7,3,2,2,4,0,3.6,2.1,1.4,3.4,26,57,2.5,1.0,3.5,1.5,2.5,1.82,0.69,2.5,1.03,1.71,2024,16,fr Ligue 1,16,26.5,54.0,2,22,180,2.0,3,3,6,3,0,0,3,1,1.9,1.9,1.8,3.8,32,91,1.5,1.5,3.0,1.5,3.0,0.96,0.92,1.88,0.96,1.88,2024,Brest_2024,23,11,47.8,11.5,5.5,0.13,0.27,18.5,1,0.09,1.4,0.9,26,9,34.6,13.0,4.5,0.12,0.33,17.6,0,0.08,1.1,1.1,603,811,74.4,11923,4594,222,266,83.5,265,335,79.1,85,156,54.5,1.2,0.6,15,40,14,4,721,952,75.7,12671,4939,302,368,82.1,308,377,81.7,72,131,55.0,2.2,1.2,24,53,17,5,695,114,2,4,44,44,9,7,2,0,2,14,840,104,2,2,35,42,13,6,4,0,8,25,42,21.0,26,5,2,5,2,9,4.5,6,1,0,0,2,0,49,24.5,40,5,1,0,0,6,3.0,5,1,0,0,0,0,42,24,17,16,9,16,35.6,29,19,18,60,44,0,37,18,15,19,3,25,61.0,16,11,11,48,33,2,1083,135,30,16,34.8,25,54.3,680,1,43,12,595,55,1189,128,45,29,58.0,16,32.0,801,8,37,26,712,91,90,100,83,13,9,18,9,3.0,5,3,2,1.0,3.6,1.9,1.7,0.86,90,100,83,13,9,18,8,0.0,3,5,-2,-1.0,1.9,3.6,-1.7,-0.86,0,28,2,0,0,106,36,43.9,0,33,0,2,0,117,46,56.1
17,Brighton,eng Premier League,18,28.6,61.5,2,22,180,2.0,8,6,14,7,1,1,8,0,6.2,5.4,5.1,10.5,52,102,4.0,3.0,7.0,3.5,6.5,3.1,2.55,5.66,2.71,5.26,2024,17,eng Premier League,18,26.8,38.5,2,22,180,2.0,2,1,3,1,1,1,7,1,3.5,2.7,2.2,5.0,37,65,1.0,0.5,1.5,0.5,1.0,1.76,1.12,2.88,1.37,2.49,2024,Brighton_2024,42,19,45.2,21.0,9.5,0.17,0.37,16.5,0,0.13,1.8,1.6,24,7,29.2,12.0,3.5,0.04,0.14,16.2,0,0.13,-1.5,-1.7,1080,1236,87.4,17074,5989,553,598,92.5,411,445,92.4,70,115,60.9,4.8,0.9,38,71,24,5,608,785,77.5,10618,4333,314,349,90.0,221,254,87.0,64,140,45.7,2.6,-1.2,19,44,12,4,1135,92,6,4,32,30,9,3,2,0,9,13,685,93,3,4,38,27,12,6,6,0,7,16,80,40.0,59,5,8,3,1,14,7.0,10,0,2,1,1,0,44,22.0,29,5,3,1,1,3,1.5,1,1,0,1,0,0,38,27,19,15,4,15,37.5,25,15,14,52,35,0,37,27,21,14,2,19,50.0,19,10,15,52,35,2,1479,163,82,19,42.2,19,42.2,947,22,30,18,1066,102,999,157,49,25,58.1,15,34.9,617,17,30,23,605,65,90,100,82,12,10,17,8,3.0,8,2,6,3.0,6.2,3.5,2.7,1.34,90,100,82,12,10,17,9,0.0,2,8,-6,-3.0,3.5,6.2,-2.7,-1.34,0,22,1,1,0,109,17,39.5,1,26,0,1,0,95,26,60.5
18,Burnley,eng Premier League,16,23.8,35.0,1,11,90,1.0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0.6,10,18,0.0,0.0,0.0,0.0,0.0,0.32,0.29,0.62,0.32,0.62,2024,18,eng Premier League,16,26.8,65.0,1,11,90,1.0,3,2,5,3,0,0,0,0,1.9,1.9,1.3,3.3,12,28,3.0,2.0,5.0,3.0,5.0,1.94,1.31,3.25,1.94,3.25,2024,Burnley_2024,6,1,16.7,6.0,1.0,0.0,0.0,14.9,0,0.05,-0.3,-0.3,17,8,47.1,17.0,8.0,0.18,0.38,13.9,0,0.12,1.1,1.1,313,395,79.2,5807,1910,133,148,89.9,134,151,88.7,40,74,54.1,0.2,-0.3,5,14,3,0,655,740,88.5,10790,3194,325,339,95.9,252,277,91.0,51,84,60.7,1.3,0.7,14,42,10,2,356,39,0,4,7,15,6,2,3,0,0,8,703,36,7,1,15,13,5,0,4,0,1,7,10,10.0,7,1,1,0,1,0,0.0,0,0,0,0,0,0,29,29.0,20,3,1,3,0,5,5.0,4,0,0,1,0,0,12,8,5,5,2,3,50.0,3,7,7,19,16,0,17,12,10,5,2,12,80.0,3,7,4,21,7,2,496,89,14,3,20.0,12,80.0,225,3,13,5,313,18,835,75,23,3,30.0,3,30.0,558,3,9,9,632,28,90,100,83,6,5,16,4,0.0,0,3,-3,-3.0,0.3,1.9,-1.6,-1.62,90,100,83,6,5,16,4,3.0,3,0,3,3.0,1.9,0.3,1.6,1.62,0,11,0,0,0,45,13,50.0,0,8,0,0,0,54,13,50.0
19,Cádiz,es La Liga,19,29.9,35.5,2,22,180,2.0,1,1,2,1,0,0,6,1,1.8,1.8,1.0,2.7,19,27,0.5,0.5,1.0,0.5,1.0,0.89,0.48,1.37,0.89,1.37,2024,19,es La Liga,19,26.3,64.5,2,22,180,2.0,2,2,4,2,0,0,6,0,3.7,3.7,2.7,6.4,56,94,1.0,1.0,2.0,1.0,2.0,1.84,1.35,3.19,1.84,3.19,2024,Cádiz_2024,22,4,18.2,11.0,2.0,0.05,0.25,15.0,1,0.08,-0.8,-0.8,34,12,35.3,17.0,6.0,0.06,0.17,17.5,2,0.11,-1.7,-1.7,377,566,66.6,7572,3502,138,177,78.0,164,208,78.8,59,145,40.7,1.0,0.0,17,26,5,5,887,1076,82.4,14465,5043,447,496,90.1,331,387,85.5,78,136,57.4,2.8,-0.7,25,78,21,8,476,87,1,5,27,35,4,0,1,0,3,6,964,109,5,7,53,36,14,3,5,0,3,13,37,18.5,17,8,3,3,1,2,1.0,0,1,0,0,1,0,59,29.5,43,3,4,3,1,4,2.0,4,0,0,0,0,0,24,15,9,14,1,6,24.0,19,10,13,37,46,0,20,15,6,11,3,6,35.3,11,6,16,36,23,1,746,132,27,11,57.9,6,31.6,329,6,19,14,373,27,1243,79,54,19,65.5,6,20.7,775,12,30,18,878,94,90,100,84,12,10,14,13,1.5,1,2,-1,-0.5,1.8,3.7,-1.9,-0.95,90,100,84,12,10,14,11,1.5,2,1,1,0.5,3.7,1.8,1.9,0.95,0,41,0,0,0,78,34,47.2,0,24,0,0,0,99,38,52.8
20,Cagliari,it Serie A,16,24.9,43.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.6,7,26,0.0,0.0,0.0,0.0,0.0,0.39,0.25,0.64,0.39,0.64,2024,20,it Serie A,16,25.5,57.0,1,11,90,1.0,0,0,0,0,0,0,1,0,1.0,1.0,0.7,1.7,16,39,0.0,0.0,0.0,0.0,0.0,0.95,0.71,1.67,0.95,1.67,2024,Cagliari_2024,8,2,25.0,8.0,2.0,0.0,0.0,20.2,1,0.05,-0.4,-0.4,11,2,18.2,11.0,2.0,0.0,0.0,17.1,0,0.09,-1.0,-1.0,260,375,69.3,4857,2080,129,143,90.2,84,122,68.9,40,92,43.5,0.4,-0.3,4,19,6,0,381,496,76.8,7233,3097,158,188,84.0,164,187,87.7,50,95,52.6,0.7,-0.7,7,29,6,1,334,39,1,5,14,17,3,2,1,0,2,5,439,56,0,3,20,22,8,7,0,0,1,9,16,16.0,10,0,3,2,1,0,0.0,0,0,0,0,0,0,17,17.0,11,2,1,1,0,0,0.0,0,0,0,0,0,0,18,13,10,5,3,8,42.1,11,6,10,28,17,0,10,6,6,3,1,0,0.0,8,3,8,18,15,0,469,59,13,8,80.0,0,0.0,231,3,18,10,250,23,586,56,15,11,57.9,8,42.1,298,4,19,10,372,39,90,100,79,6,5,25,7,1.0,0,0,0,0.0,0.4,1.0,-0.6,-0.57,90,100,79,6,5,25,8,1.0,0,0,0,0.0,1.0,0.4,0.6,0.57,0,12,0,0,0,69,20,48.8,0,8,0,0,0,54,21,51.2
21,Celta Vigo,es La Liga,18,26.2,50.0,2,22,180,2.0,1,0,1,1,0,0,2,0,2.0,2.0,1.5,3.5,33,66,0.5,0.0,0.5,0.5,0.5,1.0,0.75,1.75,1.0,1.75,2024,21,es La Liga,18,27.3,50.0,2,22,180,2.0,3,1,4,3,0,0,3,0,1.7,1.7,1.1,2.7,31,64,1.5,0.5,2.0,1.5,2.0,0.83,0.53,1.36,0.83,1.36,2024,Celta Vigo_2024,28,6,21.4,14.0,3.0,0.04,0.17,17.1,1,0.08,-1.0,-1.0,22,7,31.8,11.0,3.5,0.14,0.43,16.5,2,0.08,1.3,1.3,714,952,75.0,12357,4773,320,373,85.8,310,386,80.3,59,129,45.7,2.0,-1.5,23,50,14,5,685,936,73.2,13363,5163,281,335,83.9,297,364,81.6,95,194,49.0,0.7,-0.1,15,65,8,5,827,116,3,5,41,50,14,3,6,0,9,23,822,113,1,11,33,51,11,4,4,0,1,21,55,27.5,44,3,3,1,1,1,0.5,0,0,0,1,0,0,37,18.5,18,6,5,3,1,4,2.0,1,0,1,2,0,0,21,14,11,10,0,7,35.0,13,19,21,42,39,0,30,24,9,19,2,9,30.0,21,17,20,50,39,0,1161,114,44,21,63.6,9,27.3,639,7,31,21,710,66,1142,127,20,13,56.5,7,30.4,615,4,35,14,674,64,90,100,84,12,10,14,13,0.5,1,3,-2,-1.0,2.0,1.7,0.3,0.17,90,100,84,12,10,14,14,2.0,3,1,2,1.0,1.7,2.0,-0.3,-0.17,0,23,0,0,0,122,29,45.3,0,27,0,0,0,122,35,54.7
22,Chelsea,eng Premier League,18,25.0,70.0,2,22,180,2.0,2,1,3,2,0,1,6,0,3.8,3.0,2.7,5.7,59,114,1.0,0.5,1.5,1.0,1.5,1.92,1.35,3.27,1.52,2.87,2024,22,eng Premier League,18,27.8,30.0,2,22,180,2.0,4,3,7,3,1,1,7,1,3.1,2.3,1.7,4.0,25,47,2.0,1.5,3.5,1.5,3.0,1.53,0.85,2.38,1.14,1.99,2024,Chelsea_2024,26,7,26.9,13.0,3.5,0.08,0.29,15.6,1,0.12,-1.8,-1.0,24,6,25.0,12.0,3.0,0.13,0.5,18.6,0,0.1,0.9,0.7,1306,1528,85.5,20201,6502,722,788,91.6,455,514,88.5,84,126,66.7,2.7,-1.7,20,95,26,9,494,672,73.5,8328,3586,232,266,87.2,184,228,80.7,53,119,44.5,1.1,1.3,19,32,13,4,1423,100,9,6,60,39,13,7,2,0,5,33,590,74,3,7,21,26,7,4,3,0,8,15,49,24.5,34,3,6,3,0,4,2.0,3,0,1,0,0,0,45,22.5,36,4,1,1,2,8,4.0,5,1,0,0,1,1,29,20,11,13,5,9,37.5,15,14,10,39,31,1,33,15,16,13,4,11,30.6,25,28,28,61,66,0,1734,110,81,25,50.0,11,22.0,1218,20,37,22,1297,114,933,165,37,15,60.0,9,36.0,477,10,32,20,490,46,90,100,84,14,8,17,10,0.5,2,4,-2,-1.0,3.8,3.1,0.8,0.39,90,100,84,14,8,17,11,2.0,4,2,2,1.0,3.1,3.8,-0.8,-0.39,0,14,1,1,0,116,30,63.8,1,25,1,1,0,112,17,36.2
23,Clermont Foot,fr Ligue 1,16,27.9,54.5,2,22,180,2.0,2,2,4,2,0,0,0,0,2.2,2.2,2.0,4.2,39,85,1.0,1.0,2.0,1.0,2.0,1.09,0.99,2.08,1.09,2.08,2024,23,fr Ligue 1,16,25.6,45.5,2,22,180,2.0,6,5,11,6,0,0,4,0,4.8,4.8,3.5,8.4,33,72,3.0,2.5,5.5,3.0,5.5,2.41,1.77,4.18,2.41,4.18,2024,Clermont Foot_2024,26,11,42.3,13.0,5.5,0.08,0.18,18.2,1,0.08,-0.2,-0.2,22,12,54.5,11.0,6.0,0.27,0.5,13.9,0,0.24,1.2,1.2,891,1109,80.3,15921,5711,381,423,90.1,392,451,86.9,88,165,53.3,1.7,0.0,19,84,10,3,731,937,78.0,12838,4840,326,380,85.8,312,365,85.5,71,138,51.4,5.2,1.5,16,56,17,3,1005,99,6,4,47,36,16,7,3,0,5,24,861,70,7,7,18,25,5,2,2,0,6,15,44,22.0,35,4,2,2,0,4,2.0,3,1,0,0,0,0,39,19.5,34,0,1,0,1,11,5.5,10,0,0,1,0,0,42,23,19,18,5,27,67.5,13,14,27,69,24,0,40,24,15,20,5,23,54.8,19,18,30,70,41,2,1342,115,39,19,40.4,23,48.9,890,11,39,17,885,84,1188,125,45,13,31.0,27,64.3,771,7,33,15,726,71,90,100,83,12,10,16,8,0.0,2,6,-4,-2.0,2.2,4.8,-2.6,-1.32,90,100,83,12,10,16,8,3.0,6,2,4,2.0,4.8,2.2,2.6,1.32,0,13,0,0,0,123,24,57.1,0,25,0,0,0,136,18,42.9
24,Crystal Palace,eng Premier League,14,27.5,57.5,2,22,180,2.0,1,1,2,1,0,0,2,0,2.9,2.9,2.4,5.3,35,88,0.5,0.5,1.0,0.5,1.0,1.44,1.2,2.64,1.44,2.64,2024,24,eng Premier League,14,26.4,42.5,2,22,180,2.0,1,0,1,0,1,1,6,1,2.5,1.7,1.3,3.1,26,60,0.5,0.0,0.5,0.0,0.0,1.26,0.67,1.93,0.86,1.53,2024,Crystal Palace_2024,38,10,26.3,19.0,5.0,0.03,0.1,17.8,2,0.08,-1.9,-1.9,21,3,14.3,10.5,1.5,0.0,0.0,17.6,0,0.08,-1.5,-1.7,895,1088,82.3,16410,5714,385,431,89.3,400,456,87.7,93,149,62.4,2.1,-1.4,30,76,15,2,617,824,74.9,10601,3691,318,368,86.4,216,262,82.4,64,149,43.0,0.9,-1.3,13,62,18,3,987,99,3,9,38,48,6,2,4,0,2,24,734,86,4,3,35,28,13,8,4,0,4,15,69,34.5,42,8,3,5,3,2,1.0,2,0,0,0,0,0,38,19.0,25,7,2,2,0,2,1.0,0,1,0,0,1,0,35,19,14,12,9,15,65.2,8,13,9,44,35,0,36,18,19,10,7,13,36.1,23,21,19,55,54,0,1319,112,59,23,53.5,13,30.2,789,12,41,23,885,87,1068,124,45,8,27.6,15,51.7,572,9,19,20,611,60,90,100,89,19,3,9,14,1.5,1,1,0,0.0,2.9,2.5,0.4,0.18,90,100,89,19,3,9,9,1.5,1,1,0,0.0,2.5,2.9,-0.4,-0.18,0,25,0,1,0,98,45,63.4,1,28,1,0,0,95,26,36.6
25,Darmstadt 98,de Bundesliga,16,26.6,39.0,1,11,90,1.0,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,11,23,0.0,0.0,0.0,0.0,0.0,0.53,0.35,0.88,0.53,0.88,2024,25,de Bundesliga,16,27.0,61.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.5,1.5,1.4,2.9,17,50,1.0,1.0,2.0,1.0,2.0,1.51,1.4,2.9,1.51,2.9,2024,Darmstadt 98_2024,10,2,20.0,10.0,2.0,0.0,0.0,19.0,0,0.06,-0.5,-0.5,9,3,33.3,9.0,3.0,0.11,0.33,14.0,0,0.17,-0.5,-0.5,301,393,76.6,6596,2699,97,111,87.4,141,163,86.5,62,100,62.0,0.5,-0.4,8,30,7,1,534,621,86.0,9822,3388,199,220,90.5,286,311,92.0,45,72,62.5,1.4,-0.4,7,45,7,0,353,38,0,4,14,14,3,0,3,0,2,8,562,59,3,1,12,28,7,0,4,0,0,5,16,16.0,12,1,1,0,0,0,0.0,0,0,0,0,0,0,15,15.0,10,4,1,0,0,2,2.0,2,0,0,0,0,0,26,19,19,5,2,14,66.7,7,5,13,39,14,1,13,9,6,5,2,6,46.2,7,6,3,16,11,0,497,63,17,7,53.8,6,46.2,281,3,12,7,297,23,715,47,19,7,31.8,14,63.6,450,4,12,12,530,49,90,100,82,6,5,18,4,0.0,0,1,-1,-1.0,0.5,1.5,-1.0,-0.98,90,100,82,6,5,18,4,3.0,1,0,1,1.0,1.5,0.5,1.0,0.98,0,14,0,0,0,45,14,53.8,0,9,0,0,0,46,12,46.2
